day	wk1	wk2	wk3	wk4	wk5	wk6	cumm	covid	country
28	1	0	0	0	0	0	0	0	9
29	1	0	0	0	0	0	0	0	9
30	0	1	0	0	0	0	0	0	9
31	0	1	0	0	0	0	0	0	9
32	0	1	0	0	0	0	0	0	9
33	0	1	0	0	0	0	0	0	9
34	0	1	0	0	0	0	0	0	9
35	0	1	0	0	0	0	0	1	9
36	0	1	0	0	0	0	1	0	9
37	0	0	1	0	0	0	1	1	9
38	0	0	1	0	0	0	2	0	9
39	0	0	1	0	0	0	2	0	9
40	0	0	1	0	0	0	2	1	9
41	0	0	1	0	0	0	3	0	9
42	0	0	1	0	0	0	3	2	9
43	0	0	1	0	0	0	5	0	9
44	0	0	0	1	0	0	5	0	9
45	0	0	0	1	0	0	5	0	9
46	0	0	0	1	0	0	5	2	9
47	0	0	0	1	0	0	7	0	9
48	0	0	0	1	0	0	7	0	9
49	0	0	0	1	0	0	7	0	9
50	0	0	0	1	0	0	7	0	9
51	0	0	0	0	1	0	7	1	9
52	0	0	0	0	1	0	8	1	9
53	0	0	0	0	1	0	9	0	9
54	0	0	0	0	1	0	9	0	9
55	0	0	0	0	1	0	9	1	9
56	0	0	0	0	1	0	10	1	9
57	0	0	0	0	1	0	11	0	9
58	0	0	0	0	0	1	11	0	9
59	0	0	0	0	0	1	11	4	9
60	0	0	0	0	0	1	15	8	9
61	0	0	0	0	0	1	23	0	9
62	0	0	0	0	0	1	23	0	9
1	1	0	0	0	0	0	0	0	10
2	1	0	0	0	0	0	0	0	10
3	1	0	0	0	0	0	0	0	10
4	1	0	0	0	0	0	0	0	10
5	1	0	0	0	0	0	0	0	10
6	1	0	0	0	0	0	0	0	10
7	1	0	0	0	0	0	0	0	10
8	1	0	0	0	0	0	0	0	10
9	1	0	0	0	0	0	0	0	10
10	1	0	0	0	0	0	0	0	10
11	1	0	0	0	0	0	0	0	10
12	1	0	0	0	0	0	0	0	10
13	1	0	0	0	0	0	0	0	10
14	1	0	0	0	0	0	0	0	10
15	1	0	0	0	0	0	0	0	10
16	1	0	0	0	0	0	0	0	10
17	1	0	0	0	0	0	0	0	10
18	1	0	0	0	0	0	0	0	10
19	1	0	0	0	0	0	0	0	10
20	1	0	0	0	0	0	0	0	10
21	1	0	0	0	0	0	0	0	10
22	1	0	0	0	0	0	0	0	10
23	1	0	0	0	0	0	0	0	10
24	1	0	0	0	0	0	0	0	10
25	1	0	0	0	0	0	0	0	10
26	1	0	0	0	0	0	0	0	10
27	1	0	0	0	0	0	0	0	10
28	1	0	0	0	0	0	0	0	10
29	1	0	0	0	0	0	0	0	10
30	0	1	0	0	0	0	0	0	10
31	0	1	0	0	0	0	0	1	10
32	0	1	0	0	0	0	1	0	10
33	0	1	0	0	0	0	1	0	10
34	0	1	0	0	0	0	1	2	10
35	0	1	0	0	0	0	3	0	10
36	0	1	0	0	0	0	3	0	10
37	0	0	1	0	0	0	3	1	10
38	0	0	1	0	0	0	4	0	10
39	0	0	1	0	0	0	4	0	10
40	0	0	1	0	0	0	4	0	10
41	0	0	1	0	0	0	4	0	10
42	0	0	1	0	0	0	4	0	10
43	0	0	1	0	0	0	4	0	10
44	0	0	0	1	0	0	4	15	10
45	0	0	0	1	0	0	19	0	10
46	0	0	0	1	0	0	19	0	10
47	0	0	0	1	0	0	19	3	10
48	0	0	0	1	0	0	22	0	10
49	0	0	0	1	0	0	22	19	10
50	0	0	0	1	0	0	41	0	10
51	0	0	0	0	1	0	41	4	10
52	0	0	0	0	1	0	45	0	10
53	0	0	0	0	1	0	45	0	10
54	0	0	0	0	1	0	45	0	10
55	0	0	0	0	1	0	45	15	10
56	0	0	0	0	1	0	60	0	10
57	0	0	0	0	1	0	60	0	10
58	0	0	0	0	0	1	60	0	10
59	0	0	0	0	0	1	60	10	10
60	0	0	0	0	0	1	70	0	10
61	0	0	0	0	0	1	70	4	10
62	0	0	0	0	0	1	74	43	10
1	1	0	0	0	0	0	0	0	12
2	1	0	0	0	0	0	0	0	12
3	1	0	0	0	0	0	0	0	12
4	1	0	0	0	0	0	0	0	12
5	1	0	0	0	0	0	0	0	12
